2025-06-17 00:26:02,363 INFO:✅ 바이낸스 마켓 정보 로딩 성공.
2025-06-17 00:26:02,426 INFO:✅ [XRPUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,475 INFO:ℹ️ [XRPUSDT] 설정 변경 필요 없음
2025-06-17 00:26:02,523 INFO:✅ [SOLUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,572 INFO:ℹ️ [SOLUSDT] 설정 변경 필요 없음
2025-06-17 00:26:02,641 INFO:✅ [ETHUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,690 INFO:ℹ️ [ETHUSDT] 설정 변경 필요 없음
2025-06-17 01:28:00,886 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 01:29:01,118 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 6/11점, 숏: 1/11점
2025-06-17 01:29:01,394 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 6/11점, 숏: 2/11점
2025-06-17 01:29:01,681 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 6/11점, 숏: 1/11점
2025-06-17 01:30:00,905 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 2/11점, 숏: 5/11점
2025-06-17 01:30:01,174 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 2/11점, 숏: 3/11점
2025-06-17 01:30:01,466 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 3/11점
2025-06-17 01:31:00,667 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 01:31:00,946 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 0/11점
2025-06-17 01:31:01,240 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:32:00,460 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 01:32:00,740 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:32:01,009 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:33:00,247 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 01:33:00,541 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 01:33:00,833 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 3/11점, 숏: 4/11점
2025-06-17 01:34:01,050 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 01:34:01,347 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 2/11점, 숏: 2/11점
2025-06-17 01:34:01,640 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 3/11점
2025-06-17 01:35:00,869 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 01:35:01,172 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 6/11점, 숏: 1/11점
2025-06-17 01:35:01,434 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 3/11점
